Job_Title,Skills,skill_entities,job_entities,relationships
Marketing Communications Manager,"Strategic Communications, Digital Marketing, Email Marketing, Social Media Marketing, Marketing Strategy, Internal Communications, Copywriting, Content Strategy, Search Engine Optimization (SEO), Press Releases","[('Strategic Communications', 'Skill'), ('Digital Marketing', 'Skill'), ('Email Marketing', 'Skill'), ('Social Media Marketing', 'Skill'), ('Marketing Strategy', 'Skill'), ('Internal Communications', 'Skill'), ('Copywriting', 'Skill'), ('Content Strategy', 'Skill'), ('Search Engine Optimization (SEO)', 'Skill'), ('Press Releases', 'Skill')]","[('Marketing Communications Manager', 'Job')]","[{'from_type': 'Job', 'from_id': 'Marketing Communications Manager', 'to_type': 'Skill', 'to_id': 'Strategic Communications', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Communications Manager', 'to_type': 'Skill', 'to_id': 'Digital Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Communications Manager', 'to_type': 'Skill', 'to_id': 'Email Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Communications Manager', 'to_type': 'Skill', 'to_id': 'Social Media Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Communications Manager', 'to_type': 'Skill', 'to_id': 'Marketing Strategy', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Communications Manager', 'to_type': 'Skill', 'to_id': 'Internal Communications', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Communications Manager', 'to_type': 'Skill', 'to_id': 'Copywriting', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Communications Manager', 'to_type': 'Skill', 'to_id': 'Content Strategy', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Communications Manager', 'to_type': 'Skill', 'to_id': 'Search Engine Optimization (SEO)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Communications Manager', 'to_type': 'Skill', 'to_id': 'Press Releases', 'type': 'REQUIRES'}]"
Marketing Consultant,"Marketing Strategy, Digital Marketing, Social Media Marketing, Email Marketing, Marketing, Copywriting, Media Planning, Search Engine Optimization (SEO), Brand Awareness, Product Marketing","[('Marketing Strategy', 'Skill'), ('Digital Marketing', 'Skill'), ('Social Media Marketing', 'Skill'), ('Email Marketing', 'Skill'), ('Marketing', 'Skill'), ('Copywriting', 'Skill'), ('Media Planning', 'Skill'), ('Search Engine Optimization (SEO)', 'Skill'), ('Brand Awareness', 'Skill'), ('Product Marketing', 'Skill')]","[('Marketing Consultant', 'Job')]","[{'from_type': 'Job', 'from_id': 'Marketing Consultant', 'to_type': 'Skill', 'to_id': 'Marketing Strategy', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Consultant', 'to_type': 'Skill', 'to_id': 'Digital Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Consultant', 'to_type': 'Skill', 'to_id': 'Social Media Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Consultant', 'to_type': 'Skill', 'to_id': 'Email Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Consultant', 'to_type': 'Skill', 'to_id': 'Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Consultant', 'to_type': 'Skill', 'to_id': 'Copywriting', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Consultant', 'to_type': 'Skill', 'to_id': 'Media Planning', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Consultant', 'to_type': 'Skill', 'to_id': 'Search Engine Optimization (SEO)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Consultant', 'to_type': 'Skill', 'to_id': 'Brand Awareness', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Consultant', 'to_type': 'Skill', 'to_id': 'Product Marketing', 'type': 'REQUIRES'}]"
Marketing Coordinator,"Social Media Marketing, Email Marketing, Digital Marketing, Marketing, Marketing Strategy, Copywriting, Direct Marketing, Graphic Design, Search Engine Optimization (SEO), Social Media","[('Social Media Marketing', 'Skill'), ('Email Marketing', 'Skill'), ('Digital Marketing', 'Skill'), ('Marketing', 'Skill'), ('Marketing Strategy', 'Skill'), ('Copywriting', 'Skill'), ('Direct Marketing', 'Skill'), ('Graphic Design', 'Skill'), ('Search Engine Optimization (SEO)', 'Skill'), ('Social Media', 'Skill')]","[('Marketing Coordinator', 'Job')]","[{'from_type': 'Job', 'from_id': 'Marketing Coordinator', 'to_type': 'Skill', 'to_id': 'Social Media Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Coordinator', 'to_type': 'Skill', 'to_id': 'Email Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Coordinator', 'to_type': 'Skill', 'to_id': 'Digital Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Coordinator', 'to_type': 'Skill', 'to_id': 'Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Coordinator', 'to_type': 'Skill', 'to_id': 'Marketing Strategy', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Coordinator', 'to_type': 'Skill', 'to_id': 'Copywriting', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Coordinator', 'to_type': 'Skill', 'to_id': 'Direct Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Coordinator', 'to_type': 'Skill', 'to_id': 'Graphic Design', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Coordinator', 'to_type': 'Skill', 'to_id': 'Search Engine Optimization (SEO)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Coordinator', 'to_type': 'Skill', 'to_id': 'Social Media', 'type': 'REQUIRES'}]"
Marketing Director,"Business Management, Marketing, International Relations, Marketing Strategy, Accounting, Market Research, Market Planning, Digital Marketing, Marketing Management, Channel Sales","[('Business Management', 'Skill'), ('Marketing', 'Skill'), ('International Relations', 'Skill'), ('Marketing Strategy', 'Skill'), ('Accounting', 'Skill'), ('Market Research', 'Skill'), ('Market Planning', 'Skill'), ('Digital Marketing', 'Skill'), ('Marketing Management', 'Skill'), ('Channel Sales', 'Skill')]","[('Marketing Director', 'Job')]","[{'from_type': 'Job', 'from_id': 'Marketing Director', 'to_type': 'Skill', 'to_id': 'Business Management', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Director', 'to_type': 'Skill', 'to_id': 'Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Director', 'to_type': 'Skill', 'to_id': 'International Relations', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Director', 'to_type': 'Skill', 'to_id': 'Marketing Strategy', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Director', 'to_type': 'Skill', 'to_id': 'Accounting', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Director', 'to_type': 'Skill', 'to_id': 'Market Research', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Director', 'to_type': 'Skill', 'to_id': 'Market Planning', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Director', 'to_type': 'Skill', 'to_id': 'Digital Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Director', 'to_type': 'Skill', 'to_id': 'Marketing Management', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Director', 'to_type': 'Skill', 'to_id': 'Channel Sales', 'type': 'REQUIRES'}]"
Marketing Manager,"Branding, Networking, Marketing, Digital Marketing, B2B Marketing, Marketing Strategy, Social Media Marketing, Marketing Management, Email Marketing, Social Media","[('Branding', 'Skill'), ('Networking', 'Skill'), ('Marketing', 'Skill'), ('Digital Marketing', 'Skill'), ('B2B Marketing', 'Skill'), ('Marketing Strategy', 'Skill'), ('Social Media Marketing', 'Skill'), ('Marketing Management', 'Skill'), ('Email Marketing', 'Skill'), ('Social Media', 'Skill')]","[('Marketing Manager', 'Job')]","[{'from_type': 'Job', 'from_id': 'Marketing Manager', 'to_type': 'Skill', 'to_id': 'Branding', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Manager', 'to_type': 'Skill', 'to_id': 'Networking', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Manager', 'to_type': 'Skill', 'to_id': 'Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Manager', 'to_type': 'Skill', 'to_id': 'Digital Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Manager', 'to_type': 'Skill', 'to_id': 'B2B Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Manager', 'to_type': 'Skill', 'to_id': 'Marketing Strategy', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Manager', 'to_type': 'Skill', 'to_id': 'Social Media Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Manager', 'to_type': 'Skill', 'to_id': 'Marketing Management', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Manager', 'to_type': 'Skill', 'to_id': 'Email Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Manager', 'to_type': 'Skill', 'to_id': 'Social Media', 'type': 'REQUIRES'}]"
Marketing Representative,"Marketing, Sales, Social Media Marketing, Sales & Marketing, Lead Generation, Marketing Strategy, Business-to-Business (B2B), Digital Marketing, Cold Calling, Social Media","[('Marketing', 'Skill'), ('Sales', 'Skill'), ('Social Media Marketing', 'Skill'), ('Sales & Marketing', 'Skill'), ('Lead Generation', 'Skill'), ('Marketing Strategy', 'Skill'), ('Business-to-Business (B2B)', 'Skill'), ('Digital Marketing', 'Skill'), ('Cold Calling', 'Skill'), ('Social Media', 'Skill')]","[('Marketing Representative', 'Job')]","[{'from_type': 'Job', 'from_id': 'Marketing Representative', 'to_type': 'Skill', 'to_id': 'Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Representative', 'to_type': 'Skill', 'to_id': 'Sales', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Representative', 'to_type': 'Skill', 'to_id': 'Social Media Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Representative', 'to_type': 'Skill', 'to_id': 'Sales & Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Representative', 'to_type': 'Skill', 'to_id': 'Lead Generation', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Representative', 'to_type': 'Skill', 'to_id': 'Marketing Strategy', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Representative', 'to_type': 'Skill', 'to_id': 'Business-to-Business (B2B)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Representative', 'to_type': 'Skill', 'to_id': 'Digital Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Representative', 'to_type': 'Skill', 'to_id': 'Cold Calling', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Representative', 'to_type': 'Skill', 'to_id': 'Social Media', 'type': 'REQUIRES'}]"
Marketing Specialist,"Marketing, Branding, Social Media Marketing, Digital Marketing, Networking, Social Media, Marketing Strategy, Email Marketing, Rebranding, Canva","[('Marketing', 'Skill'), ('Branding', 'Skill'), ('Social Media Marketing', 'Skill'), ('Digital Marketing', 'Skill'), ('Networking', 'Skill'), ('Social Media', 'Skill'), ('Marketing Strategy', 'Skill'), ('Email Marketing', 'Skill'), ('Rebranding', 'Skill'), ('Canva', 'Skill')]","[('Marketing Specialist', 'Job')]","[{'from_type': 'Job', 'from_id': 'Marketing Specialist', 'to_type': 'Skill', 'to_id': 'Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Specialist', 'to_type': 'Skill', 'to_id': 'Branding', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Specialist', 'to_type': 'Skill', 'to_id': 'Social Media Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Specialist', 'to_type': 'Skill', 'to_id': 'Digital Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Specialist', 'to_type': 'Skill', 'to_id': 'Networking', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Specialist', 'to_type': 'Skill', 'to_id': 'Social Media', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Specialist', 'to_type': 'Skill', 'to_id': 'Marketing Strategy', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Specialist', 'to_type': 'Skill', 'to_id': 'Email Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Specialist', 'to_type': 'Skill', 'to_id': 'Rebranding', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Specialist', 'to_type': 'Skill', 'to_id': 'Canva', 'type': 'REQUIRES'}]"
Marketing Strategist,"Marketing Strategy, Digital Marketing, Content Strategy, Email Marketing, Social Media Marketing, Search Engine Optimization (SEO), Copywriting, Marketing, Content Marketing, Business-to-Business (B2B)","[('Marketing Strategy', 'Skill'), ('Digital Marketing', 'Skill'), ('Content Strategy', 'Skill'), ('Email Marketing', 'Skill'), ('Social Media Marketing', 'Skill'), ('Search Engine Optimization (SEO)', 'Skill'), ('Copywriting', 'Skill'), ('Marketing', 'Skill'), ('Content Marketing', 'Skill'), ('Business-to-Business (B2B)', 'Skill')]","[('Marketing Strategist', 'Job')]","[{'from_type': 'Job', 'from_id': 'Marketing Strategist', 'to_type': 'Skill', 'to_id': 'Marketing Strategy', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Strategist', 'to_type': 'Skill', 'to_id': 'Digital Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Strategist', 'to_type': 'Skill', 'to_id': 'Content Strategy', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Strategist', 'to_type': 'Skill', 'to_id': 'Email Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Strategist', 'to_type': 'Skill', 'to_id': 'Social Media Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Strategist', 'to_type': 'Skill', 'to_id': 'Search Engine Optimization (SEO)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Strategist', 'to_type': 'Skill', 'to_id': 'Copywriting', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Strategist', 'to_type': 'Skill', 'to_id': 'Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Strategist', 'to_type': 'Skill', 'to_id': 'Content Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Marketing Strategist', 'to_type': 'Skill', 'to_id': 'Business-to-Business (B2B)', 'type': 'REQUIRES'}]"
Massage Therapist,"Deep Tissue Massage, Bodywork, Therapeutic Massage, Chair Massage, Swedish Massage, Trigger Point Therapy, Sports Massage, Myofascial Release Therapy, Pregnancy Massage, Medical Massage","[('Deep Tissue Massage', 'Skill'), ('Bodywork', 'Skill'), ('Therapeutic Massage', 'Skill'), ('Chair Massage', 'Skill'), ('Swedish Massage', 'Skill'), ('Trigger Point Therapy', 'Skill'), ('Sports Massage', 'Skill'), ('Myofascial Release Therapy', 'Skill'), ('Pregnancy Massage', 'Skill'), ('Medical Massage', 'Skill')]","[('Massage Therapist', 'Job')]","[{'from_type': 'Job', 'from_id': 'Massage Therapist', 'to_type': 'Skill', 'to_id': 'Deep Tissue Massage', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Massage Therapist', 'to_type': 'Skill', 'to_id': 'Bodywork', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Massage Therapist', 'to_type': 'Skill', 'to_id': 'Therapeutic Massage', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Massage Therapist', 'to_type': 'Skill', 'to_id': 'Chair Massage', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Massage Therapist', 'to_type': 'Skill', 'to_id': 'Swedish Massage', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Massage Therapist', 'to_type': 'Skill', 'to_id': 'Trigger Point Therapy', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Massage Therapist', 'to_type': 'Skill', 'to_id': 'Sports Massage', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Massage Therapist', 'to_type': 'Skill', 'to_id': 'Myofascial Release Therapy', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Massage Therapist', 'to_type': 'Skill', 'to_id': 'Pregnancy Massage', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Massage Therapist', 'to_type': 'Skill', 'to_id': 'Medical Massage', 'type': 'REQUIRES'}]"
Material Handler,"Shipping & Receiving, Forklift Operation, Warehouse Operations, Material Handling, Order Picking, Pallet Jack, Inventory Management, Inventory Control, Forklift Training, Materials Management","[('Shipping & Receiving', 'Skill'), ('Forklift Operation', 'Skill'), ('Warehouse Operations', 'Skill'), ('Material Handling', 'Skill'), ('Order Picking', 'Skill'), ('Pallet Jack', 'Skill'), ('Inventory Management', 'Skill'), ('Inventory Control', 'Skill'), ('Forklift Training', 'Skill'), ('Materials Management', 'Skill')]","[('Material Handler', 'Job')]","[{'from_type': 'Job', 'from_id': 'Material Handler', 'to_type': 'Skill', 'to_id': 'Shipping & Receiving', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Material Handler', 'to_type': 'Skill', 'to_id': 'Forklift Operation', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Material Handler', 'to_type': 'Skill', 'to_id': 'Warehouse Operations', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Material Handler', 'to_type': 'Skill', 'to_id': 'Material Handling', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Material Handler', 'to_type': 'Skill', 'to_id': 'Order Picking', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Material Handler', 'to_type': 'Skill', 'to_id': 'Pallet Jack', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Material Handler', 'to_type': 'Skill', 'to_id': 'Inventory Management', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Material Handler', 'to_type': 'Skill', 'to_id': 'Inventory Control', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Material Handler', 'to_type': 'Skill', 'to_id': 'Forklift Training', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Material Handler', 'to_type': 'Skill', 'to_id': 'Materials Management', 'type': 'REQUIRES'}]"
Mathematics Teacher,"Mathematics, Mathematics Education, Teaching, Algebra, Curriculum Development, Classroom Management, Education, Educational Technology, Lesson Planning, Calculus","[('Mathematics', 'Skill'), ('Mathematics Education', 'Skill'), ('Teaching', 'Skill'), ('Algebra', 'Skill'), ('Curriculum Development', 'Skill'), ('Classroom Management', 'Skill'), ('Education', 'Skill'), ('Educational Technology', 'Skill'), ('Lesson Planning', 'Skill'), ('Calculus', 'Skill')]","[('Mathematics Teacher', 'Job')]","[{'from_type': 'Job', 'from_id': 'Mathematics Teacher', 'to_type': 'Skill', 'to_id': 'Mathematics', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mathematics Teacher', 'to_type': 'Skill', 'to_id': 'Mathematics Education', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mathematics Teacher', 'to_type': 'Skill', 'to_id': 'Teaching', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mathematics Teacher', 'to_type': 'Skill', 'to_id': 'Algebra', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mathematics Teacher', 'to_type': 'Skill', 'to_id': 'Curriculum Development', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mathematics Teacher', 'to_type': 'Skill', 'to_id': 'Classroom Management', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mathematics Teacher', 'to_type': 'Skill', 'to_id': 'Education', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mathematics Teacher', 'to_type': 'Skill', 'to_id': 'Educational Technology', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mathematics Teacher', 'to_type': 'Skill', 'to_id': 'Lesson Planning', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mathematics Teacher', 'to_type': 'Skill', 'to_id': 'Calculus', 'type': 'REQUIRES'}]"
Mathematics Tutor,"Mathematics, Tutoring, Python (Programming Language), Mathematics Education, Calculus, Teaching, MATLAB, Algebra, Java, Online Tutoring","[('Mathematics', 'Skill'), ('Tutoring', 'Skill'), ('Python (Programming Language)', 'Skill'), ('Mathematics Education', 'Skill'), ('Calculus', 'Skill'), ('Teaching', 'Skill'), ('MATLAB', 'Skill'), ('Algebra', 'Skill'), ('Java', 'Skill'), ('Online Tutoring', 'Skill')]","[('Mathematics Tutor', 'Job')]","[{'from_type': 'Job', 'from_id': 'Mathematics Tutor', 'to_type': 'Skill', 'to_id': 'Mathematics', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mathematics Tutor', 'to_type': 'Skill', 'to_id': 'Tutoring', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mathematics Tutor', 'to_type': 'Skill', 'to_id': 'Python (Programming Language)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mathematics Tutor', 'to_type': 'Skill', 'to_id': 'Mathematics Education', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mathematics Tutor', 'to_type': 'Skill', 'to_id': 'Calculus', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mathematics Tutor', 'to_type': 'Skill', 'to_id': 'Teaching', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mathematics Tutor', 'to_type': 'Skill', 'to_id': 'MATLAB', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mathematics Tutor', 'to_type': 'Skill', 'to_id': 'Algebra', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mathematics Tutor', 'to_type': 'Skill', 'to_id': 'Java', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mathematics Tutor', 'to_type': 'Skill', 'to_id': 'Online Tutoring', 'type': 'REQUIRES'}]"
Mechanic,"Mechanics, Maintenance & Repair, Automotive Repair, Diesel Engine, Welding, Maintenance, Automotive, Preventive Maintenance, Heavy Equipment Operations, Equipment Maintenance","[('Mechanics', 'Skill'), ('Maintenance & Repair', 'Skill'), ('Automotive Repair', 'Skill'), ('Diesel Engine', 'Skill'), ('Welding', 'Skill'), ('Maintenance', 'Skill'), ('Automotive', 'Skill'), ('Preventive Maintenance', 'Skill'), ('Heavy Equipment Operations', 'Skill'), ('Equipment Maintenance', 'Skill')]","[('Mechanic', 'Job')]","[{'from_type': 'Job', 'from_id': 'Mechanic', 'to_type': 'Skill', 'to_id': 'Mechanics', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mechanic', 'to_type': 'Skill', 'to_id': 'Maintenance & Repair', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mechanic', 'to_type': 'Skill', 'to_id': 'Automotive Repair', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mechanic', 'to_type': 'Skill', 'to_id': 'Diesel Engine', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mechanic', 'to_type': 'Skill', 'to_id': 'Welding', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mechanic', 'to_type': 'Skill', 'to_id': 'Maintenance', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mechanic', 'to_type': 'Skill', 'to_id': 'Automotive', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mechanic', 'to_type': 'Skill', 'to_id': 'Preventive Maintenance', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mechanic', 'to_type': 'Skill', 'to_id': 'Heavy Equipment Operations', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mechanic', 'to_type': 'Skill', 'to_id': 'Equipment Maintenance', 'type': 'REQUIRES'}]"
Mechanical Design Engineer,"SOLIDWORKS, Mechanical Engineering, Design, Design for Manufacturing, Geometric Dimensioning & Tolerancing, Computer-Aided Design (CAD), Creo, Mechanical Product Design, Design Engineering, Siemens NX","[('SOLIDWORKS', 'Skill'), ('Mechanical Engineering', 'Skill'), ('Design', 'Skill'), ('Design for Manufacturing', 'Skill'), ('Geometric Dimensioning & Tolerancing', 'Skill'), ('Computer-Aided Design (CAD)', 'Skill'), ('Creo', 'Skill'), ('Mechanical Product Design', 'Skill'), ('Design Engineering', 'Skill'), ('Siemens NX', 'Skill')]","[('Mechanical Design Engineer', 'Job')]","[{'from_type': 'Job', 'from_id': 'Mechanical Design Engineer', 'to_type': 'Skill', 'to_id': 'SOLIDWORKS', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mechanical Design Engineer', 'to_type': 'Skill', 'to_id': 'Mechanical Engineering', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mechanical Design Engineer', 'to_type': 'Skill', 'to_id': 'Design', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mechanical Design Engineer', 'to_type': 'Skill', 'to_id': 'Design for Manufacturing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mechanical Design Engineer', 'to_type': 'Skill', 'to_id': 'Geometric Dimensioning & Tolerancing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mechanical Design Engineer', 'to_type': 'Skill', 'to_id': 'Computer-Aided Design (CAD)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mechanical Design Engineer', 'to_type': 'Skill', 'to_id': 'Creo', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mechanical Design Engineer', 'to_type': 'Skill', 'to_id': 'Mechanical Product Design', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mechanical Design Engineer', 'to_type': 'Skill', 'to_id': 'Design Engineering', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Mechanical Design Engineer', 'to_type': 'Skill', 'to_id': 'Siemens NX', 'type': 'REQUIRES'}]"
